Anno	Codice	PuntoV	Imponibile	Iva	Totale	Contanti	Carta	Tickets	Assegni	Altro	Sospesi	Perdite
2025	40	2	417.64	41.76	459.4	413.7	45	0	0	0	0	0.7
2025	41	1	948.86	87.94	1036.8	765.5	201.8	0	0	69.5	0	0
2025	41	2	389.86	38.99	428.85	335.2	93.65	0	0	0	0	0
2025	42	1	1052.52	89.94	1142.46	636.92	352.46	0	0	153.08	0	0
2025	42	2	333.91	33.39	367.3	308.3	59	0	0	0	0	0
2025	43	1	1403.79	104.61	1508.4	805.75	345	0	0	357.65	0	0
2025	43	2	404.82	40.48	445.3	383.7	61.6	0	0	0	0	0
2025	44	1	1495.17	111.23	1606.4	762.1	461.4	0	0	382.9	0	0
2025	44	2	401.36	40.14	441.5	361.8	79.5	0	0	0	0	0.2
2025	45	1	2021.15	182.25	2203.4	1281.34	723.4	0	0	198.66	0	0
2025	45	2	616.55	61.65	678.2	608.67	69.5	0	0	0	0	0.03
2025	46	1	1942.95	165.65	2108.6	1108.6	713.6	0	0	286.4	0	0
2025	46	2	916.71	91.67	1008.38	844.35	164	0	0	0	0	0.03
2025	47	1	1051.78	75.32	1127.1	476.4	352.1	0	0	298.6	0	0
2025	47	2	360.18	36.02	396.2	307.1	89	0	0	0	0	0.1
2025	48	1	934.07	61.93	996	340.2	341	0	0	314.8	0	0
2025	48	2	408	40.8	448.8	377.2	71.5	0	0	0	0	0.1
2025	49	1	904.58	61.82	966.4	383.6	296.4	0	0	286.4	0	0
2025	49	2	326.45	32.65	359.1	327.1	32	0	0	0	0	0
2025	50	1	1042.34	75.36	1117.7	466.3	362.7	0	0	288.7	0	0
2025	50	2	400.36	40.04	440.4	405.7	34.5	0	0	0	0	0.2
2025	51	1	1131.73	95.49	1227.22	586.2	464.22	0	0	176.8	0	0
2025	51	2	437.18	43.72	480.9	400.85	80	0	0	0	0	0.05
2025	52	1	2522.1	175.7	2697.8	1879.88	52.8	0	0	765.12	0	0
2025	52	2	755.84	74.06	829.9	788.54	26.1	0	0	15.26	0	0
2025	53	1	1627.81	107.19	1735	1179.1	0	0	0	555.9	0	0
2025	53	2	720.5	71.5	792	786.5	0	0	0	5.5	0	0
2025	54	1	941.12	70.18	1011.3	550.7	221.3	0	0	239.3	0	0
2025	54	2	388.91	38.89	427.8	356.9	70.5	0	0	0	0	0.4
2025	55	1	1072.55	78.12	1150.67	628.7	230.67	0	0	291.3	0	0
2025	55	2	406.55	40.65	447.2	376.14	71	0	0	0	0	0.06
2025	56	1	861.91	66.19	928.1	425	303.1	0	0	200	0	0
2025	56	2	449.82	44.98	494.8	339.8	155	0	0	0	0	0
2025	57	1	1063.47	72.33	1135.8	384.82	410.8	0	0	340.18	0	0
2025	57	2	379.36	37.94	417.3	354.85	62	0	0	0	0	0.45
2025	58	1	1168.67	87.13	1255.8	707.58	250.8	0	0	297.42	0	0
2025	58	2	336.5	33.65	370.15	331.5	38.6	0	0	0.05	0	0
2025	59	1	2571.39	219.47	2790.86	1423.32	990.86	0	0	376.68	0	0
2025	59	2	762.18	76.22	838.4	681.6	156.6	0	0	0	0	0.2
2025	60	1	1553.87	119.33	1673.2	839.4	473.2	0	0	360.6	0	0
2025	60	2	789.93	78.99	868.92	868.31	0	0	0	0	0	0.61
2025	61	1	1284.77	81.43	1366.2	539.48	356.2	0	0	470.52	0	0
2025	61	2	439.18	43.92	483.1	400.7	82	0	0	0	0	0.4
2025	62	1	1143.15	102.35	1245.5	630.4	495.5	0	0	119.6	0	0
